id,name,gender,dob,city,country
49-3500756,Earl Roberts,M,7/2/1990,Nashville,United States
65-5814332,Thomas Jenkins,M,11/18/1988,Golden,Canada
67-6672738,Marie Mills,F,9/26/1993,Baton Rouge,United States
57-3165765,Mildred Wagner,F,7/3/1977,New York City,United States
77-8008626,Tina Ford,F,8/27/2003,Izingolweni,South Africa
39-3490674,Ernest Gonzales,M,3/27/1977,Miami,United States
48-3775822,Anne Griffin,F,2/9/1988,Detroit,United States
91-2709891,Julia Hart,F,10/31/1985,Hollywood,United States
84-9060931,Sarah Roberts,F,3/11/1980,Littleton,United States
35-2247174,Mildred Carter,F,8/16/1989,Matatiele,South Africa
46-6150102,Paul Bailey,M,2/10/2005,Sacramento,United States
07-0252564,Russell Franklin,M,12/4/1977,Invermere,Canada
19-3636161,Phillip Moore,M,7/5/1976,Barrie,Canada
60-1343159,Rachel Stanley,F,12/27/1986,Las Vegas,United States
01-0101995,Terry Freeman,M,12/6/1995,Petaluma,United States
27-9690707,Jerry Riley,M,5/20/1977,Atlanta,United States
82-1155863,Clarence Crawford,M,8/6/1999,Grand Rapids,United States
48-1132626,Sarah Phillips,F,1/10/1982,New Orleans,United States
67-8795354,Brian Burke,M,4/6/1991,Columbus,United States
86-6578126,Albert Kennedy,M,12/10/2003,Scottsdale,United States
78-8564143,Anne Wheeler,F,1/14/1995,Bassano,Canada
57-7473268,Joe Torres,M,5/31/1976,Sacramento,United States
72-4547165,Cynthia Montgomery,F,6/21/1996,Saint Louis,United States
01-5879685,Amanda Hamilton,F,8/25/1987,Lexington,United States
10-0918804,Teresa Hicks,F,12/29/1978,Timmins,Canada
45-3728388,Paul Peters,M,6/7/1993,Morris,Canada
88-0890164,Marie Cooper,F,1/17/1986,Medicine Hat,Canada
64-1325815,Katherine Rogers,F,10/3/1982,Upton,United Kingdom
74-2005097,Rebecca Carr,F,9/22/1983,El Paso,United States
02-4530029,Ryan Rose,M,4/25/1989,Spirit River,Canada
45-3404281,Kevin Jackson,M,12/23/1988,Dean,United Kingdom
73-4597320,Janice Perez,F,5/2/1986,Houston,United States
77-6836321,Diane Wheeler,F,2/21/2004,Lady Grey,South Africa
27-4267185,Joe Crawford,M,1/11/1988,Whittier,United States
34-3882729,Lori Murray,F,6/3/1988,Kokstad,South Africa
98-5165775,Nicole Reynolds,F,9/23/1986,Kugluktuk,Canada
10-1887891,Robin Morgan,F,8/4/1999,Newark,United States
88-6462944,Douglas Diaz,M,6/12/1989,Dorchester,Canada
81-7134659,Victor Bailey,M,6/11/2002,Weyburn,Canada
06-3302729,Chris Hamilton,M,8/1/1987,Lebel-sur-Quévillon,Canada
25-8783139,Evelyn Owens,F,7/12/1989,Fort Beaufort,South Africa
80-0335665,Rachel Snyder,F,4/5/2004,Charleston,United States
10-0842067,Robert Diaz,M,2/28/1994,Vanderhoof,Canada
03-2593797,Heather Martinez,F,1/26/1993,Bloomington,United States
23-9835494,William Ray,M,6/4/1984,Saint Paul,United States
84-4372219,Deborah Ryan,F,2/28/1988,Harrisburg,United States
99-3456328,Janet Ross,F,2/5/1989,Bowen Island,Canada
23-8573029,Matthew Torres,M,1/24/2003,San Francisco,United States
34-9270399,Michelle Payne,F,2/9/1987,San Francisco,United States
45-3169400,Theresa Owens,F,3/9/2005,Richmond,United States
26-6030911,Karen Knight,F,9/20/2001,Nicolet,Canada
89-9226040,Eric Dean,M,10/18/1998,Colorado Springs,United States
44-2402632,Kathleen Oliver,F,1/8/2000,Houston,United States
00-2557477,Debra Lynch,F,4/10/1985,Krugersdorp,South Africa
73-1774992,Evelyn Freeman,F,7/19/1979,Hartswater,South Africa
27-6372269,Ryan King,M,9/2/1996,Bloemfontein,South Africa
89-8345263,Brandon Martinez,M,1/23/1987,Vancouver,United States
73-2660916,Kenneth Walker,M,3/12/1976,San Angelo,United States
81-4477780,Louise Sanders,F,6/18/2000,Omaha,United States
80-8137056,Teresa Fields,F,2/22/1991,Denver,United States
76-9849998,Carl Mendoza,M,3/14/1992,Church End,United Kingdom
10-3661231,Linda Myers,F,2/4/1982,Kansas City,United States
17-7734952,Evelyn Meyer,F,9/29/1990,Lancaster,United States
99-9027235,Russell Lane,M,11/18/1989,Clearwater,United States
78-6623707,Gloria Burton,F,12/12/1997,Omaha,United States
03-5364672,Judith Hall,F,2/19/1987,Omaha,United States
31-3361928,Linda Murray,F,11/7/1979,Arlington,United States
06-8980897,Ruby Simpson,F,2/16/1996,Dollard-Des Ormeaux,Canada
89-0219669,Kevin West,M,9/16/1993,Marieville,Canada
44-9461957,Stephanie Edwards,F,4/27/1997,Colorado Springs,United States
02-7649827,John Mason,M,9/5/1979,Nigel,South Africa
14-7011478,Rachel Hill,F,1/3/1988,Glasgow,United Kingdom
84-9796363,Heather Barnes,F,8/11/1988,Sheffield,United Kingdom
38-9591204,Cynthia Wheeler,F,9/30/1990,Austin,United States
21-6075335,Ann Lane,F,8/24/1990,Dayton,United States
98-6272563,Debra Little,F,3/19/1999,Bromont,Canada
37-9995952,Dennis Bailey,M,4/16/2003,Smiths Falls,Canada
10-0001445,Phyllis Carroll,F,8/22/1978,Grimshaw,Canada
38-3486537,Diane Stevens,F,3/2/1999,Kansas City,United States
40-6645876,Kenneth Alvarez,M,10/26/2004,Sacramento,United States
69-2487049,Marilyn Nichols,F,10/3/2003,London,United Kingdom
56-0209997,Carlos Evans,M,4/21/1991,Newark,United States
81-7969532,Sharon Marshall,F,12/17/1993,Oakville,Canada
76-4667019,Jennifer Gonzalez,F,6/2/1993,Shreveport,United States
17-4593328,Aaron Palmer,M,10/17/1987,Chicago,United States
32-3580509,Dorothy Robinson,F,5/19/1994,El Paso,United States
66-3906908,Timothy Perry,M,11/23/2003,San Jose,United States
37-1308870,Albert Rice,M,1/6/1996,Glasgow,United Kingdom
66-2928082,Jane Ellis,F,4/24/1997,Charlton,United Kingdom
01-7846538,Elizabeth Fields,F,12/2/1983,Noupoort,South Africa
90-4053916,Daniel Cook,M,2/1/1993,Knoxville,United States
94-1871455,Julie Allen,F,3/8/1981,Olympia,United States
58-3996876,Roger Hughes,M,2/21/1979,Hagerstown,United States
76-3186490,Andrea Brown,F,9/22/1980,Benoni,South Africa
38-9234243,Sean Garcia,M,10/18/1988,Port Saint Lucie,United States
54-4082199,Stephen Brown,M,7/12/2005,Daytona Beach,United States
94-8404634,Evelyn Collins,F,8/31/1982,Fort Lauderdale,United States
66-7453217,Cheryl Sanders,F,2/15/1989,Westonaria,South Africa
62-3069820,Virginia Fowler,F,11/24/1980,Scottsdale,United States
32-3541932,Dennis Garcia,M,3/2/1989,Manchester,United Kingdom
51-7243434,Andrea Daniels,F,11/11/1975,Queenstown,South Africa
93-5266968,Lillian Carr,F,1/21/1983,Houston,United States
80-8158900,Henry Jacobs,M,2/24/1997,Thorold,Canada
69-6294476,Deborah Murphy,F,3/27/2000,Tarkastad,South Africa
87-7248248,Alice Peterson,F,12/7/1982,Milwaukee,United States
73-1974172,Brenda Burke,F,7/26/1980,Whittier,United States
21-9502785,Harold Watkins,M,5/24/2003,Beaverton,United States
43-7049831,Randy Jacobs,M,3/1/2004,Morinville,Canada
44-2446139,Russell Rice,M,4/29/1987,Las Vegas,United States
50-4116661,Antonio Fowler,M,9/9/1988,Kansas City,United States
52-0738355,Diane Ramos,F,8/16/2005,San Jose,United States
11-1757439,Brenda Stephens,F,4/16/1987,Saint Louis,United States
54-7133092,Larry Ramos,M,6/12/2002,Victoriaville,Canada
45-2780531,William Campbell,M,4/26/2003,Amarillo,United States
50-9749604,Nicholas Cooper,M,10/5/1980,Garden Grove,United States
79-6862792,Elizabeth Price,F,2/3/1985,Elliot,South Africa
61-4548294,Phillip Hawkins,M,6/16/1997,Sacramento,United States
46-9961736,Larry Patterson,M,2/20/1982,Boynton Beach,United States
14-3656948,Edward Stephens,M,10/3/1979,Charlotte,United States
82-9591574,Kevin Gonzalez,M,9/18/1979,Preston,United Kingdom
67-4418722,Bobby Andrews,M,1/7/1980,Lavaltrie,Canada
29-3973221,Janet Olson,F,11/18/1988,Forestville,Canada
15-7204643,Russell Rose,M,9/12/1976,Los Angeles,United States
43-0938165,Anne Ross,F,12/11/2003,Dayton,United States
31-6712113,Jerry Harper,M,11/14/1981,Waterloo,Canada
84-2646381,Stephanie Holmes,F,12/7/2002,Matagami,Canada
46-4081103,Amanda Perkins,F,8/21/2002,El Paso,United States
27-0938229,Eric Bishop,M,10/8/1978,Greensboro,United States
45-2799337,Christina Scott,F,3/6/2000,Charlton,United Kingdom
95-3195746,Todd Robertson,M,4/5/1993,Lumby,Canada
66-4278112,Ryan Fields,M,6/7/2000,Bonnyville,Canada
33-1462628,Jeremy Pierce,M,12/31/1980,Saint-Sauveur,Canada
31-5471814,Martha Chavez,F,8/26/1998,Boshof,South Africa
73-3330768,Catherine Foster,F,6/12/2001,Richmond,United States
88-1408641,Jennifer Mendoza,F,6/9/1987,Koppies,South Africa
14-0402813,Bruce Roberts,M,5/10/2001,Dulles,United States
70-0073676,Howard Dean,M,1/14/2002,Thetford-Mines,Canada
53-3722176,David James,M,9/17/1993,Washington,United States
33-8047471,Todd Baker,M,8/13/1993,Nigel,South Africa
64-4835977,Sharon Cole,F,11/16/1976,Midland,United States
87-3947186,Adam Andrews,M,4/7/1999,Bonnyville,Canada
32-5775448,Timothy Reyes,M,11/6/1975,Charlottesville,United States
65-6393607,Michael Peterson,M,8/22/2001,Fruitvale,Canada
04-7881056,Jessica Stevens,F,4/4/1997,Kansas City,United States
89-6684655,Ronald Phillips,M,9/25/1984,Wilkes Barre,United States
11-8683798,Thomas Snyder,M,6/2/2002,Princeville,Canada
72-4097719,Anthony Burton,M,11/24/1981,Wilmington,United States
64-3443193,Jose Arnold,M,12/7/1995,El Paso,United States
46-4328554,Ronald Hayes,M,10/6/1997,Peoria,United States
75-5585645,Bonnie Anderson,F,11/13/1984,Scottsdale,United States
52-2689223,Harold Owens,M,2/23/1983,El Paso,United States
99-5661600,Stephen Williamson,M,7/20/1991,Washington,United States
87-2234438,Amy Olson,F,9/26/1986,Des Moines,United States
80-5956156,Albert Lawson,M,10/30/1991,North Little Rock,United States
46-3194952,Bruce Butler,M,7/30/2000,Lichtenburg,South Africa
61-1300312,Diana Ramos,F,9/18/1985,Sydney Mines,Canada
31-2051176,Jeffrey Rogers,M,8/11/1999,Espanola,Canada
02-2044914,Mary Ramirez,F,4/22/2005,Shawnee Mission,United States
92-5552422,Irene Mills,F,5/29/1984,Birmingham,United States
88-4272778,Louis Wood,M,5/15/1978,Fort Wayne,United States
56-4831681,Roger Long,M,8/19/1981,Memphis,United States
84-1417917,Janet Montgomery,F,3/13/2000,Santa Barbara,United States
49-0530426,Dorothy Riley,F,11/20/1976,Wichita,United States
23-3112129,Ann Alvarez,F,12/27/1999,Reston,United States
94-6178756,Sharon Reynolds,F,8/4/1998,Canton,United States
95-7889198,Brian Richardson,M,1/7/1976,Houston,United States
51-0013412,Sean Lawson,M,8/19/2004,Walnut Grove,Canada
27-9863038,Joe Perez,M,11/1/1992,Adstock,Canada
16-9104488,Louis Morris,M,10/17/1978,Fredericton,Canada
80-3949926,Larry Coleman,M,1/31/1985,Nipawin,Canada
54-0322286,Sean Fox,M,11/13/1996,Jackson,United States
02-0532241,Aaron Elliott,M,12/22/1992,Walton,United Kingdom
87-1650183,Kenneth Hunter,M,4/2/1995,Estevan,Canada
25-5270933,Randy Nelson,M,11/18/1999,Willowmore,South Africa
90-8370848,Kimberly Nelson,F,3/8/1976,Washington,United States
47-9869627,Peter Wagner,M,6/21/1988,Petrolia,Canada
76-9604004,Rachel Richards,F,8/11/1990,White River,South Africa
05-9622985,Michelle Henderson,F,9/27/2003,Philadelphia,United States
27-6141381,Elizabeth Taylor,F,12/16/1989,Wingham,Canada
58-6922427,Steven Weaver,M,8/28/1989,Saint-Jérôme,Canada
91-4361238,Barbara Carroll,F,8/24/1999,Pittsburgh,United States
86-9040617,Rebecca Patterson,F,11/20/1989,Schaumburg,United States
94-6653460,Bobby Morrison,M,7/6/1976,Charleston,United States
19-9863768,Robert Foster,M,4/23/1994,Durham,United States
24-0493554,Robert Ray,M,9/26/1978,Orlando,United States
06-2562217,Eric Ray,M,4/1/1993,Mpumalanga,South Africa
67-1202417,Rose Williamson,F,3/21/1978,eMbalenhle,South Africa
51-0497311,Sharon Elliott,F,5/17/1984,Koffiefontein,South Africa
04-4856006,Alan Martin,M,6/4/1978,Kokstad,South Africa
95-1271190,Margaret Mcdonald,F,6/1/1976,Englewood,United States
53-2608828,Daniel Davis,M,11/2/1989,Peddie,South Africa
19-9427648,Jose Watson,M,2/2/1976,Beauceville,Canada
99-6082431,Barbara James,F,7/27/1993,Saint-Augustin-de-Desmaures,Canada
41-0662504,Daniel Henry,M,12/15/1987,Port Nolloth,South Africa
11-2485590,Katherine Foster,F,11/9/1975,London,Canada
00-5570262,Doris Andrews,F,6/27/1991,Houston,United States
10-4016793,Albert Lee,M,10/21/1986,Greensboro,United States
87-7994681,Jimmy Gray,M,9/17/1981,New-Richmond,Canada
99-7909991,Jacqueline Kelley,F,3/16/1983,Craigavon,United Kingdom
61-0761730,Lawrence Hanson,M,11/13/1996,Wichita,United States
45-5412187,Kathleen King,F,5/12/1980,Dallas,United States
32-2668767,David Harris,M,5/20/1990,San Diego,United States
77-6131828,Brenda Reid,F,12/25/1997,Jackson,United States
05-3659211,Julie Chapman,F,10/9/1993,Atikokan,Canada
74-4460608,Ann Foster,F,11/9/1980,San Diego,United States
03-4972564,Keith Ramos,M,10/31/1986,Roodepoort,South Africa
90-0608542,John Parker,M,11/11/1986,Dallas,United States
51-7687710,Debra Meyer,F,9/19/1978,New Orleans,United States
56-1561825,Shawn Fowler,M,6/13/1999,Trenton,United States
46-9306420,Jason Carroll,M,12/26/1981,Willowdale,Canada
48-3887088,Paula Ramos,F,9/1/1995,Mtubatuba,South Africa
55-6136250,Joyce Gomez,F,11/11/1980,Charlton,United Kingdom
48-5761954,Jason Ruiz,M,4/23/1978,Boulder,United States
62-3533260,Aaron Thompson,M,10/29/1977,Winnipeg,Canada
39-9193812,Shirley Montgomery,F,12/23/2000,Upton,United Kingdom
56-1232807,Margaret Garcia,F,10/2/1981,Milwaukee,United States
35-8873937,Craig Stanley,M,10/8/1979,Knoxville,United States
54-8731805,Betty Lawrence,F,3/21/1998,Mount Pearl,Canada
32-0717253,Martin Castillo,M,7/14/1999,Springfield,United States
58-8881000,Kimberly Long,F,11/23/1989,L'Île-Perrot,Canada
26-5756936,Dorothy Wheeler,F,7/3/1982,Dewetsdorp,South Africa
72-3843141,Phyllis Kelley,F,9/22/1989,Hartford,United States
67-7111397,Ronald Ramirez,M,3/21/1988,Detroit,United States
74-1749388,Cheryl Jenkins,F,9/14/1995,Beaufort,United States
92-3613187,Norma Day,F,4/29/1996,Dallas,United States
29-6589955,Amy Day,F,1/31/1993,Macon,United States
35-7123492,Mary Brooks,F,1/20/1982,Delareyville,South Africa
76-0456827,Phyllis Gray,F,11/19/1997,San Antonio,United States
42-0091044,Doris Sanchez,F,9/21/2003,Smiths Falls,Canada
27-2152824,Janet Morales,F,5/15/1994,Nashville,United States
90-8114706,Joseph Patterson,M,2/1/1999,Atlanta,United States
40-7467407,Kelly Frazier,F,4/28/1977,Sacramento,United States
68-3418840,Earl Murray,M,3/6/1989,Arnprior,Canada
26-3610493,Henry Harris,M,5/19/1991,Claresholm,Canada
41-0620675,Lillian Boyd,F,3/24/1985,Trois-Rivières,Canada
52-4587308,Samuel Bryant,M,4/10/1999,Albanel,Canada
08-7754266,Eugene Knight,M,6/5/1977,Little Rock,United States
26-6429792,Daniel Peters,M,9/24/1976,Alberton,Canada
36-7528065,Eric Riley,M,1/13/1978,Los Angeles,United States
48-9814675,Carlos Henderson,M,5/20/1984,Salt Lake City,United States
53-3817280,William Ford,M,1/8/1982,Chico,United States
17-3221318,Walter Hill,M,3/5/1983,Alberton,Canada
59-3482414,Maria Garrett,F,2/15/2001,Omaha,United States
39-6247418,Cheryl Hill,F,3/25/1990,El Paso,United States
15-5687770,Heather Dixon,F,8/12/2005,Rockford,United States
57-4434284,Bobby Diaz,M,9/10/1978,Rochester,United States
72-8018550,Beverly Dean,F,11/13/1983,Atlanta,United States
86-1789443,Johnny Sanchez,M,2/24/1979,Wilkes Barre,United States
10-2396025,Lillian Gilbert,F,1/6/1992,Los Angeles,United States
54-8167958,Charles Mitchell,M,6/25/1993,Shreveport,United States
25-4605370,Howard Parker,M,11/29/1977,Otterburn Park,Canada
55-8814320,Patricia Wright,F,6/22/1998,Senekal,South Africa
57-4138226,Martha Hart,F,12/13/1981,London,United Kingdom
82-5423261,Sharon Gilbert,F,3/9/2005,Little Current,Canada
38-0986499,Virginia Bailey,F,4/25/1997,Denver,United States
95-7416109,Andrew Kennedy,M,3/22/1996,Amarillo,United States
04-1347465,Joyce Edwards,F,4/24/1993,Atikokan,Canada
37-6767676,Diane Campbell,F,7/26/2000,Washington,United States
64-8435404,Chris Daniels,M,1/11/1999,Ficksburg,South Africa
42-5233443,Kevin Taylor,M,8/13/2002,Victoria West,South Africa
09-7471976,Kimberly Phillips,F,10/30/2001,Belfast,Canada
39-3691700,Christina Walker,F,9/19/2003,Baltimore,United States
65-3162812,Phillip Morris,M,4/22/1998,San Antonio,United States
03-1500165,Joyce Sullivan,F,1/10/1998,Ashcroft,Canada
17-4310820,Tina Fernandez,F,1/8/1987,Kansas City,United States
54-2122138,Gregory Fuller,M,1/4/1988,Los Angeles,United States
74-7319751,Heather Hanson,F,7/17/2004,Charlemagne,Canada
68-2081152,Johnny Bailey,M,11/4/1993,Sicamous,Canada
44-8456622,Laura Mitchell,F,3/18/1985,Beaumont,United States
18-4382721,Amanda Cole,F,1/13/1991,Trois-Rivières,Canada
61-5751874,Fred Lawrence,M,3/29/1980,Lydenburg,South Africa
36-5877355,Sara Castillo,F,6/1/1990,Moncton,Canada
57-7081328,David Bennett,M,9/23/1983,Saint Louis,United States
98-3817574,Jesse Mitchell,M,2/2/1993,Tallahassee,United States
84-6941299,Ann Anderson,F,7/5/1984,Catalina,Canada
98-6648384,Samuel Owens,M,1/26/1983,Vancouver,United States
22-9854966,Walter Dean,M,8/18/1981,Silver Spring,United States
19-2094643,Jeremy Perry,M,12/17/1986,Racine,United States
70-3494763,Todd James,M,4/14/1981,Jacksonville,United States
78-7062226,Lawrence Walker,M,8/18/1979,Whistler,Canada
86-8361288,Nicholas Robinson,M,10/18/1995,Phoenix,United States
39-7262318,Bruce Morrison,M,4/20/2003,Liverpool,United Kingdom
33-6317916,Jimmy Carroll,M,3/4/1992,Melbourne,United States
58-6528039,Kelly Adams,F,7/10/1996,Fox Creek,Canada
69-7060620,Debra Simmons,F,6/29/1978,Seattle,United States
52-9950435,Brian Jenkins,M,4/22/1985,Anmore,Canada
12-6606048,Julia Kim,F,11/21/1997,Young America,United States
38-9198118,Theresa Williamson,F,2/25/1990,Norfolk,United States
72-4384342,Julie Arnold,F,7/28/1985,Washington,United States
85-0299714,Johnny Fields,M,8/27/1981,Peachland,Canada
81-9155233,Pamela Torres,F,2/22/1985,Oromocto,Canada
94-4845067,Frank Bishop,M,7/8/1997,Washington,United States
42-5027171,Bruce Torres,M,6/5/2002,Pittsburgh,United States
12-5754604,Carl Crawford,M,6/21/1994,Bronx,United States
66-0139255,Catherine Montgomery,F,1/17/1994,El Paso,United States
06-4505932,Marie Edwards,F,9/3/1995,Hantsport,Canada
22-0766477,Susan Watkins,F,5/10/1997,Reno,United States
21-1533001,Harry Ford,M,7/3/1988,Halton,United Kingdom
33-8293563,Stephen Banks,M,7/9/2002,Philadelphia,United States
98-4707679,Gloria Berry,F,2/23/1995,Memphis,United States
74-9523286,Nancy Butler,F,7/25/1994,Mont-Laurier,Canada
29-7186906,Martin Watkins,M,2/4/1981,Springbok,South Africa
13-6706346,Cheryl Peterson,F,9/9/1976,Aurora,United States
20-7926558,Victor Washington,M,6/3/1979,Jeffrey’s Bay,South Africa
08-4187911,Benjamin Brooks,M,11/11/1977,Boston,United States
39-6084794,Nicole Tucker,F,2/27/1978,Newark,United States
29-9070700,Jacqueline Cox,F,7/28/1986,Summerside,Canada
29-1311542,Helen Torres,F,2/8/1993,Richards Bay,South Africa
71-8059779,Donna Long,F,9/11/1982,High Point,United States
00-7124170,Eric Alexander,M,4/21/1980,Digby,Canada
70-8939461,Carl Patterson,M,9/8/1983,Albany,United States
89-2232690,Julie Ellis,F,8/12/1992,Jacksonville,United States
16-2027124,Joe Lopez,M,8/12/2005,Huntington,United States
64-1528197,Evelyn Robertson,F,11/30/1992,Dordrecht,South Africa
57-2431448,Samuel Weaver,M,3/6/1984,Saint Paul,United States
99-7919631,Eric Russell,M,5/9/1981,Louis Trichardt,South Africa
40-8042351,Christina Perkins,F,4/6/2001,Garies,South Africa
81-2920865,Chris Matthews,M,2/26/1994,Waterloo,Canada
11-3361883,Sarah Riley,F,5/7/1978,Minneapolis,United States
95-8006164,Stephen Watkins,M,6/18/1985,New York City,United States
46-8120530,Pamela Perez,F,3/7/1989,Baie-D'Urfé,Canada
00-7972964,Debra Perry,F,12/19/2004,Austin,United States
57-3108930,Alice Dixon,F,3/11/1977,Madison,United States
00-7709434,Terry Banks,M,12/27/1994,Reno,United States
96-9990893,Joshua Thomas,M,7/24/2003,Otterburn Park,Canada
13-4015001,Timothy Carr,M,12/7/1990,North Little Rock,United States
71-3681717,Paul Wilson,M,2/20/1993,Washington,United States
50-2291214,Cheryl Phillips,F,2/16/1987,Honolulu,United States
76-2333982,Janet Powell,F,4/23/1981,Des Moines,United States
79-1943276,Marilyn Lopez,F,2/24/1986,Chilliwack,Canada
81-7656372,Rose Richardson,F,2/14/2005,Harbour Breton,Canada
44-5677096,Christine Watson,F,4/9/1998,San Antonio,United States
52-4226913,Jonathan Owens,M,4/18/1990,Torbay,Canada
14-4923596,Barbara Lawson,F,7/15/1999,Colorado Springs,United States
61-6780086,Harold King,M,11/21/2004,Tulsa,United States
01-3207603,Doris Mccoy,F,3/10/1996,San Jose,United States
68-4744589,Laura Jones,F,3/25/1982,Montague,Canada
74-5676221,Jason Powell,M,3/30/1994,New York City,United States
76-2106812,Gerald Green,M,11/29/1995,Marston,United Kingdom
36-2297496,Jeffrey King,M,4/23/1999,Chicago,United States
68-9080887,Tammy Black,F,8/30/2003,Fort Worth,United States
06-8202913,Steven Fisher,M,7/23/1978,Musina,South Africa
50-0061539,Patricia Bowman,F,1/19/1987,Sussex,Canada
79-8868106,Alan Webb,M,9/3/1978,Houston,United States
13-3398887,Gregory Cruz,M,10/21/1978,Roblin,Canada
36-1073540,Mark Dean,M,5/30/2002,Indianapolis,United States
07-5715305,Rebecca Baker,F,10/27/1978,Brooklyn,United States
02-8444141,Scott Duncan,M,10/12/2000,Lynn,United States
42-9709822,Andrew Gray,M,12/6/2004,Two Hills,Canada
58-9277342,Martin Wright,M,4/15/1996,Chandler,United States
65-5086418,Lois Reynolds,F,1/28/1978,Germiston,South Africa
11-8115784,Bobby Diaz,M,11/30/1996,Colorado Springs,United States
28-3022433,Harold Wheeler,M,1/29/1980,Princeville,Canada
82-3235423,Billy Wallace,M,9/4/2003,Joliette,Canada
96-2892761,Laura Ruiz,F,1/7/1987,Des Moines,United States
71-1293405,Judy Bell,F,8/11/1983,Kitchener,Canada
10-6267588,Paul Crawford,M,6/20/1988,Manchester,United Kingdom
16-3384784,Mildred Mcdonald,F,5/24/1976,Chicago,United States
68-2601329,Betty Fisher,F,6/15/1996,Los Angeles,United States
28-8787691,Richard Armstrong,M,3/1/2005,Thulamahashi,South Africa
95-4670583,Willie Griffin,M,9/23/1983,Reno,United States
60-8243624,Betty George,F,4/9/1999,San Francisco,United States
40-5013343,Frances Nichols,F,2/24/2000,Jacksonville,United States
28-9793973,Russell Jordan,M,4/2/1992,Springfield,United States
64-5078219,Ernest Wells,M,11/8/1988,Van Nuys,United States
82-6871187,Jonathan Spencer,M,2/1/1993,Boise,United States
62-5906729,Kelly Austin,F,7/26/1996,Birmingham,United States
56-4482070,Patricia Adams,F,8/4/1977,Westonaria,South Africa
38-3000532,Jessica Johnson,F,1/3/1994,Stony Plain,Canada
58-8827718,Larry Hall,M,8/4/1998,Wichita,United States
54-1143178,Evelyn Wagner,F,6/23/1992,Tucson,United States
45-8842193,Andrew Parker,M,8/27/1997,Denton,United States
64-4792699,Paula Lawson,F,11/9/1998,Beausejour,Canada
79-9211968,Annie James,F,4/2/1989,Winston Salem,United States
63-5736043,Debra Davis,F,2/21/1990,Charlemagne,Canada
08-4902958,Kathleen Cruz,F,12/8/1988,Maclear,South Africa
75-4859180,Jean Perry,F,1/5/1991,Pittsburgh,United States
50-0708054,Kathryn Long,F,10/14/1976,Carolina,South Africa
90-1396002,Gregory Gardner,M,11/29/2001,Rochester,United States
32-9797661,Scott Mendoza,M,2/19/1990,Ajax,Canada
08-3809010,Albert Peters,M,8/24/2000,San Diego,United States
04-2596619,Carol Walker,F,2/23/2004,Jasper Park Lodge,Canada
42-7230403,Christina Simpson,F,9/19/1989,Louisville,United States
29-4180204,Lawrence Hunter,M,3/29/1990,Bowen Island,Canada
37-3910963,Shirley Perry,F,11/13/1990,Piet Retief,South Africa
44-3106605,Patricia Pierce,F,8/8/1989,Saint Paul,United States
36-5173057,Timothy Garrett,M,6/10/1987,Huntington,United States
62-4172761,Keith Campbell,M,12/15/1996,Church End,United Kingdom
96-5631321,Carolyn Mendoza,F,5/16/1982,Drayton Valley,Canada
42-1221023,Janice Stevens,F,8/6/1980,San Antonio,United States
51-5174790,Lori Smith,F,2/4/1999,Beaufort West,South Africa
76-6451067,Julia Harris,F,12/26/1977,Waterbury,United States
06-2284177,Martha Cooper,F,5/16/1988,Williston,South Africa
72-8957723,Debra Carpenter,F,11/14/1977,Kimberley,Canada
07-9718252,Scott Hayes,M,7/16/1996,Greater Napanee,Canada
47-4216543,Kimberly Collins,F,5/20/1976,Dallas,United States
27-6482995,Robin Carroll,F,1/28/1997,San Jose,United States
91-9976547,Paul Spencer,M,2/7/2004,Brooklyn,United States
05-7882312,William Watkins,M,6/4/1982,Jefferson City,United States
51-0082738,Jack Kennedy,M,6/13/1980,Magog,Canada
20-8664413,Randy Powell,M,4/24/1978,Messina,South Africa
85-0050617,Philip Shaw,M,2/2/1994,Neebing,Canada
57-1732443,Julie Gardner,F,2/27/1995,Rocky Mountain House,Canada
95-1933390,Matthew Lane,M,8/16/2003,Senneterre,Canada
35-7932610,Ryan Bailey,M,7/31/2000,Bedford,Canada
65-5921908,Judith Vasquez,F,8/23/2004,Whittier,United States
83-1291808,Douglas Morales,M,9/7/1977,Mobile,United States
23-9755963,Lisa Henderson,F,9/15/2002,Huntsville,United States
00-6056980,Ruby Kelly,F,4/30/1998,Carlsbad,United States
89-9674453,Louis Richards,M,2/6/1995,Casselman,Canada
67-7287442,James Mendoza,M,1/16/1998,North Bay,Canada
56-1626446,Amy Price,F,5/26/1990,Logan Lake,Canada
42-5744932,Kevin Thomas,M,3/29/1992,Topeka,United States
80-6836849,Eric Green,M,9/19/1976,Saguenay,Canada
96-8977883,Wayne Burke,M,6/30/1988,Amos,Canada
26-1097766,Judith Webb,F,1/12/1989,Iqaluit,Canada
24-8879463,Annie Kelly,F,7/7/1991,Izingolweni,South Africa
23-8152396,Ryan Clark,M,8/18/1991,Mount Ayliff,South Africa
31-0530147,Todd Fox,M,5/4/1999,Muskegon,United States
20-6721600,Irene Garza,F,2/24/1990,Otterburn Park,Canada
44-4981578,Russell White,M,5/19/1978,Houston,United States
55-6227527,Martin Cooper,M,12/31/1977,Ocala,United States
48-1674284,Douglas Thomas,M,12/5/1976,Burgeo,Canada
49-0460781,Diana Watkins,F,8/7/1994,Delson,Canada
